episode,step,chosen_origin,chosen_is_initial,chosen_x,q,immediate_cost,inv_before,inv_after,q_computed,phi_len,q_by_best_theta,abs_diff,abs_diff_num,q_repaired,replaced_flag
0,0,CE_with_init,0,"[0, 0, 1, 0, 1, 1, 2, 0, 0, 1, 1, 1, 3, 1, 0]",4210.106911411363,2161.55,"[49, 16, 55, 22, 14, 56, 45]","[45, 9, 58, 31, 13, 55, 46]",3657.191492965715,12,4499.154511397356,289.04759998599275,289.04759998599275,4210.106911411363,False
0,1,CE_with_init,0,"[0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 2, 0, 1, 0, 3]",4210.106911411363,2080.2200000000003,"[49, 16, 55, 22, 14, 56, 45]","[45, 14, 49, 36, 14, 54, 45]",3074.3986099371937,12,4434.33713407149,224.23022266012686,224.23022266012686,4210.106911411363,False
0,2,CE_with_init,0,"[1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1]",4210.106911411363,1985.87,"[49, 16, 55, 22, 14, 56, 45]","[54, 11, 51, 30, 13, 54, 44]",5690.486588083545,12,4854.733902030373,644.62699061901,644.62699061901,4210.106911411363,False
0,5,CE_with_init,0,"[1, 0, 0, 1, 0, 0, 1, 2, 2, 1, 2, 1, 1, 0, 0]",4210.106911411363,2067.5,"[49, 16, 55, 22, 14, 56, 45]","[52, 8, 54, 28, 12, 57, 46]",3787.8585809807078,12,3861.8225719862885,348.2843394250749,348.2843394250749,4210.106911411363,False
0,6,CE_with_init,0,"[0, 0, 3, 2, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0]",4210.106911411363,2101.85,"[49, 16, 55, 22, 14, 56, 45]","[52, 10, 51, 32, 13, 55, 44]",5104.400884653772,12,4622.113375071969,412.00646366060573,412.00646366060573,4210.106911411363,False
0,7,CE_with_init,0,"[0, 0, 0, 3, 1, 1, 0, 0, 1, 1, 3, 0, 1, 0, 0]",4210.106911411357,2047.5500000000002,"[49, 16, 55, 22, 14, 56, 45]","[49, 9, 52, 34, 13, 55, 45]",3428.8421126392873,12,3770.8328382857185,439.27407312563855,439.27407312563855,4210.106911411357,False
0,8,CE_with_init,0,"[0, 1, 0, 1, 0, 0, 5, 0, 0, 2, 1, 0, 1, 0, 0]",4210.106911411363,1855.49,"[49, 16, 55, 22, 14, 56, 45]","[57, 10, 50, 26, 10, 56, 48]",6344.1583692323875,12,3592.9291398762966,617.1777715350668,617.1777715350668,4210.106911411363,False
0,9,CE_with_init,0,"[0, 1, 0, 0, 0, 2, 1, 1, 2, 0, 1, 0, 0, 1, 2]",4210.106911411363,2100.02,"[49, 16, 55, 22, 14, 56, 45]","[55, 8, 51, 30, 10, 55, 48]",5028.45077183421,12,4771.272286965658,561.1653755542948,561.1653755542948,4210.106911411363,False
0,10,CE_with_init,0,"[1, 0, 0, 0, 0, 3, 0, 1, 6, 1, 0, 0, 1, 0, 1]",4210.106911411363,2274.71,"[49, 16, 55, 22, 14, 56, 45]","[53, 6, 54, 27, 9, 56, 52]",5767.359050952286,12,3896.127335726707,313.97957568465654,313.97957568465654,4210.106911411363,False
0,11,CE_with_init,0,"[0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 1, 1, 1, 0, 2]",4210.106911411363,2191.1000000000004,"[49, 16, 55, 22, 14, 56, 45]","[46, 12, 52, 34, 14, 56, 43]",2663.490480395079,12,4332.7342338091885,122.62732239782508,122.62732239782508,4210.106911411363,False
0,12,CE_with_init,0,"[0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 3, 0]",4210.106911411363,1970.03,"[49, 16, 55, 22, 14, 56, 45]","[57, 10, 54, 25, 11, 55, 45]",4909.367062325601,12,4480.901731324584,270.79481991322064,270.79481991322064,4210.106911411363,False
0,13,CE_with_init,0,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 2]",4210.106911411363,2026.6100000000001,"[49, 16, 55, 22, 14, 56, 45]","[54, 9, 51, 31, 12, 54, 46]",5652.928857188709,12,3595.162150988755,614.9447604226084,614.9447604226084,4210.106911411363,False
0,14,CE_with_init,0,"[1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0]",4210.106911411363,2003.69,"[49, 16, 55, 22, 14, 56, 45]","[56, 10, 51, 28, 15, 54, 43]",5164.076559871867,12,4626.212897928315,416.1059865169518,416.1059865169518,4210.106911411363,False
0,15,CE_with_init,0,"[0, 0, 1, 1, 0, 0, 2, 0, 0, 3, 0, 1, 2, 0, 2]",4210.106911411363,2194.2200000000003,"[49, 16, 55, 22, 14, 56, 45]","[44, 10, 54, 36, 11, 57, 45]",3897.54862570215,12,3897.54862570215,312.5582857092136,312.5582857092136,4210.106911411363,False
0,16,CE_with_init,0,"[1, 0, 2, 1, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 1]",4210.106911411363,2204.96,"[49, 16, 55, 22, 14, 56, 45]","[57, 10, 49, 27, 11, 60, 43]",6380.1526033262635,12,3469.4506944159284,740.656216995435,740.656216995435,4210.106911411363,False
0,17,CE_with_init,0,"[0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 1, 1, 2, 1, 0]",4210.106911411357,2081.36,"[49, 16, 55, 22, 14, 56, 45]","[46, 10, 56, 31, 12, 55, 47]",3807.952571383409,12,3807.952571383409,402.1543400279479,402.1543400279479,4210.106911411357,False
0,18,CE_with_init,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 4, 0, 0, 1]",4210.106911411357,2223.62,"[49, 16, 55, 22, 14, 56, 45]","[56, 8, 54, 26, 14, 56, 43]",5774.465446649559,12,4806.34033479243,596.2334233810734,596.2334233810734,4210.106911411357,False
